b21,b26,b38,b48,b77,Turbidity
0.208798,0.212693,0.26246,0.255824,0.270174,17
0.207995,0.21126,0.262732,0.255945,0.267168,16.77
0.196682,0.19909,0.248987,0.240923,0.255662,16.68
0.205104,0.208167,0.261775,0.254652,0.268223,16.45
0.207022,0.210266,0.264787,0.257754,0.271766,16.98
0.206251,0.208991,0.266254,0.256411,0.271578,16.26
0.208576,0.212726,0.268916,0.260213,0.276627,16.32
0.212512,0.21602,0.273676,0.267136,0.280481,16.68
0.210633,0.216093,0.273501,0.26479,0.282611,16.4
0.209392,0.211024,0.263311,0.254898,0.269043,18.54
0.209184,0.210796,0.262984,0.254561,0.268658,18.31
0.207565,0.212573,0.265305,0.257785,0.273848,17.06
0.206926,0.211874,0.264301,0.256751,0.272667,14.88
0.207816,0.212848,0.265699,0.258191,0.274312,16.33
0.211351,0.214955,0.269714,0.262211,0.278066,16.75
0.201324,0.204318,0.257272,0.249351,0.267492,16.65
0.196395,0.198923,0.249529,0.241378,0.258385,16.76
0.179561,0.1805,0.223086,0.214147,0.227283,17.54
0.208212,0.212718,0.264918,0.25641,0.271189,17.84
0.206303,0.209048,0.266336,0.256496,0.271674,15.96
0.205825,0.208525,0.265585,0.255722,0.270791,14.23
0.209827,0.213104,0.270887,0.26126,0.278173,19.68
0.209969,0.21326,0.27111,0.26149,0.278435,16.85
0.207758,0.212531,0.270053,0.262016,0.278343,16.37
0.207758,0.212531,0.270053,0.262016,0.278343,16.54
0.207512,0.212262,0.269666,0.261617,0.277889,16.81
0.210923,0.214372,0.2643,0.25595,0.270382,16.91
0.207439,0.211206,0.260325,0.253626,0.267663,17.02
0.207812,0.211422,0.263955,0.253851,0.269955,16.54
0.20813,0.211769,0.264454,0.254364,0.270541,16.71
0.207322,0.211174,0.265475,0.258649,0.273513,16.84
0.209653,0.212417,0.267747,0.258238,0.274101,18.46
0.212,0.215665,0.270733,0.263261,0.279265,16.47
0.210589,0.21412,0.268517,0.260978,0.276658,16.12
0.210231,0.211793,0.265764,0.258572,0.273131,16.85
0.209786,0.213134,0.267259,0.261221,0.273668,17.01
0.205783,0.2082,0.262309,0.254387,0.27044,16.81
0.207236,0.211651,0.263386,0.254832,0.269386,17.68
0.206848,0.211226,0.262776,0.254204,0.268669,17.23
0.209123,0.212184,0.268801,0.259901,0.274547,17.65
0.2098,0.212935,0.27058,0.260665,0.276715,17.73
0.209456,0.213116,0.271818,0.262962,0.27946,15.74
0.207257,0.210452,0.261572,0.25475,0.265803,17.59
0.207371,0.21102,0.264994,0.256492,0.270968,17.48
0.2065,0.210617,0.262177,0.253322,0.268478,16.05
0.206789,0.210933,0.26263,0.253789,0.269012,16.72
0.207371,0.211571,0.263545,0.254731,0.270088,17.45
0.209871,0.214307,0.267473,0.258776,0.274707,16.72
0.20903,0.212345,0.265582,0.257123,0.270598,16.32
0.208391,0.211645,0.264578,0.256088,0.269417,16.02
0.209001,0.212314,0.265538,0.257077,0.270546,17.27
0.207811,0.210595,0.263048,0.253693,0.271286,17.21
0.208927,0.21261,0.266601,0.258072,0.275592,17.57
0.208975,0.212662,0.266675,0.258149,0.27568,19.07
0.209228,0.21407,0.268299,0.261127,0.277956,16.68
0.209351,0.214204,0.268492,0.261326,0.278184,17.19
0.207434,0.212602,0.265563,0.257548,0.273478,17.23
0.208785,0.212775,0.267773,0.261016,0.276216,16.78
0.209726,0.213951,0.268696,0.261954,0.276315,16.65
0.207189,0.211599,0.263312,0.254756,0.269299,16.87
0.21121,0.212513,0.264838,0.258369,0.275463,23.05
0.209833,0.212961,0.269917,0.26105,0.275859,16.84
0.210551,0.215274,0.271939,0.262783,0.278945,18.34
0.210563,0.212975,0.270227,0.261774,0.277541,13.94
0.21154,0.215298,0.272658,0.265169,0.283137,16.29
0.208373,0.211831,0.267682,0.260045,0.277284,16.82
0.207628,0.211843,0.267478,0.255342,0.275313,14.9
0.20813,0.212392,0.268267,0.256154,0.27624,13.44
0.209165,0.212241,0.269583,0.259638,0.275543,16.53
0.210042,0.213057,0.270384,0.262498,0.279335,14.62
0.209549,0.212518,0.269611,0.261701,0.278426,16.73
0.208388,0.213221,0.271042,0.263034,0.279507,17.02
0.208018,0.212816,0.270462,0.262437,0.278825,15.79
0.207758,0.212531,0.270053,0.262016,0.278343,17.8
0.204782,0.206006,0.252521,0.241586,0.254943,18.07
0.208498,0.212253,0.266764,0.258315,0.27305,17.23
0.208062,0.211777,0.26608,0.257611,0.272246,17.54
0.206779,0.211443,0.262692,0.253617,0.269495,16.84
0.207555,0.210784,0.261517,0.25251,0.268495,16.82
0.209056,0.212427,0.263874,0.254938,0.271268,17.01
0.209393,0.212795,0.264403,0.255482,0.271889,17.44
0.207349,0.210736,0.262856,0.255449,0.268447,17.13
0.207595,0.211005,0.263243,0.255847,0.268902,17.17
0.207505,0.210907,0.263102,0.255702,0.268736,17.25
0.209472,0.213206,0.267456,0.258953,0.276598,17.54
0.207969,0.212691,0.26632,0.25909,0.275629,16.07
0.207495,0.212173,0.265576,0.258324,0.274754,16.69
0.20869,0.212509,0.265425,0.255767,0.270292,18.14
0.207354,0.211048,0.263327,0.253607,0.267825,19.91
0.207971,0.210684,0.263775,0.257423,0.269238,17.22
0.208169,0.212101,0.266806,0.26002,0.275079,16.19
0.20888,0.212878,0.267922,0.261169,0.276391,16.97
0.210751,0.213773,0.269716,0.262544,0.27818,16.36
0.209788,0.214018,0.268792,0.262054,0.276428,16.47
0.208427,0.211647,0.265124,0.259023,0.271157,16.58
0.207025,0.210113,0.262922,0.256756,0.268567,16.16
0.206512,0.212284,0.26423,0.257572,0.272579,16.71
0.20415,0.206412,0.259742,0.251744,0.267422,17.29
0.204898,0.207231,0.260918,0.252954,0.268804,20.37
0.209263,0.213865,0.269916,0.260699,0.276566,16.42
0.211771,0.214296,0.272124,0.263727,0.279772,19.27
0.209195,0.212704,0.26892,0.26216,0.276489,14.39
0.208875,0.211622,0.264403,0.257628,0.27196,14.96
0.205729,0.209765,0.264496,0.25227,0.271804,16.76
0.208829,0.211731,0.26848,0.260537,0.277096,16.49
0.202305,0.205873,0.250003,0.240483,0.252775,18.28
0.20443,0.206004,0.254077,0.242458,0.256442,15.83
0.207036,0.210939,0.262397,0.25559,0.270128,16.93
0.206783,0.209933,0.260828,0.253984,0.264929,17.89
0.206999,0.210659,0.262769,0.253032,0.267169,18.55
0.207999,0.210554,0.263744,0.253424,0.268363,17.76
0.20735,0.209844,0.262725,0.252374,0.267164,17.23
0.208378,0.210969,0.264339,0.254036,0.269063,16.76
0.209699,0.212622,0.268064,0.260843,0.276238,16.88
0.208828,0.211669,0.266696,0.259434,0.274628,16.9
0.209078,0.213241,0.267677,0.260905,0.275116,13.77
0.205963,0.211683,0.263367,0.256684,0.271564,16.42
0.205385,0.21105,0.262459,0.255749,0.270497,17.14
0.2052,0.210848,0.262169,0.255451,0.270155,16.58
0.203103,0.205267,0.258099,0.250051,0.265489,16.31
0.208719,0.213269,0.269061,0.259819,0.27556,15.43
0.208518,0.211963,0.267857,0.261064,0.275238,16.52
0.208744,0.212277,0.266307,0.261243,0.275474,15.15
0.210226,0.213899,0.268635,0.263641,0.278213,16.33
0.207565,0.210986,0.264455,0.259336,0.273296,16.4
0.206077,0.210692,0.267412,0.259296,0.275238,16.14
0.202925,0.20647,0.2498,0.241706,0.255148,18.45
0.207805,0.208965,0.254224,0.245446,0.259452,16.01
0.207408,0.209566,0.26164,0.254222,0.267668,53.65
0.208033,0.21025,0.262622,0.255233,0.268823,23.29
0.209636,0.213244,0.268841,0.26218,0.277177,17.62
0.208821,0.212352,0.267561,0.260862,0.275672,17.21
0.209448,0.214067,0.270206,0.260998,0.276907,17.4
0.209069,0.213628,0.268519,0.2617,0.277041,17.07
0.209827,0.214457,0.269709,0.262925,0.278441,17.07
0.208689,0.211651,0.265779,0.257999,0.273938,16.95
0.208835,0.211083,0.267513,0.258978,0.274348,17.2
0.206243,0.210873,0.267673,0.259565,0.275544,16.08
0.205137,0.209039,0.26568,0.25848,0.274648,15.97
0.205874,0.208638,0.255646,0.245274,0.259365,18.39
0.20713,0.211107,0.258127,0.251349,0.265168,17.98
0.208826,0.212725,0.262505,0.25587,0.270227,15.9
0.208423,0.210132,0.259406,0.251063,0.265946,18.04
0.208916,0.210671,0.26018,0.251859,0.266856,19.44
0.208928,0.213282,0.266204,0.258226,0.274951,17.96
0.20621,0.21019,0.261435,0.254095,0.26795,17.82
0.208232,0.212402,0.264611,0.257366,0.271686,18.79
0.209012,0.211926,0.263837,0.256318,0.270899,17.9
0.207673,0.209856,0.262056,0.254651,0.268158,18.73
0.207505,0.208209,0.256589,0.248387,0.261697,18.08
0.208948,0.211871,0.262161,0.252072,0.265912,18.1
0.207736,0.210545,0.260256,0.250111,0.263673,17.52
0.206121,0.208778,0.25772,0.247499,0.260689,18.09
0.208765,0.210722,0.258133,0.248889,0.263637,18.49
0.202759,0.206371,0.250717,0.241218,0.253615,18.16
0.203297,0.206995,0.252341,0.242391,0.259007,18.23
0.209314,0.211814,0.262754,0.253587,0.270283,18.08
0.209114,0.213278,0.261243,0.254559,0.268834,14.64
0.210939,0.213987,0.263383,0.255724,0.269006,17.11
0.210152,0.212023,0.262121,0.253859,0.26914,15.8
0.206973,0.211024,0.262633,0.255329,0.269358,14.74
0.207762,0.211582,0.263713,0.254861,0.269734,18.03
0.20771,0.211525,0.263631,0.254777,0.269638,18.5
0.209755,0.212739,0.265004,0.25752,0.272272,18.97
0.206383,0.210402,0.267636,0.260495,0.276948,15.85
0.208795,0.211484,0.270347,0.263271,0.277978,13.49
0.208795,0.211484,0.270347,0.263271,0.277978,13.67
0.207959,0.208706,0.257303,0.249122,0.262537,18.17
0.208102,0.209997,0.257092,0.247816,0.262412,18.17
0.205881,0.208865,0.254557,0.245897,0.261263,17.67
0.204355,0.208035,0.252046,0.244019,0.25779,16.91
0.204306,0.208083,0.254194,0.244087,0.258225,17.92
0.208972,0.211809,0.263324,0.254075,0.269325,20.98
0.208993,0.21206,0.265075,0.255368,0.270489,18.77
0.207379,0.210293,0.262539,0.252756,0.267505,17.94
0.208113,0.211097,0.263692,0.253944,0.268861,18.17
0.207246,0.210148,0.26233,0.252542,0.26726,18.13
0.207338,0.211018,0.261272,0.254288,0.269686,18.29
0.208341,0.212117,0.262849,0.255912,0.27154,14.81
0.208777,0.212593,0.263533,0.256617,0.272345,19.33
0.209397,0.213272,0.264507,0.25762,0.273491,19.3
0.210338,0.213157,0.265019,0.257382,0.273831,18.33
0.209315,0.212037,0.263412,0.255727,0.271941,18.4
0.209627,0.212281,0.264835,0.255696,0.270744,16.98
0.209873,0.212551,0.265221,0.256094,0.271199,18.83
0.207994,0.211454,0.263549,0.254759,0.26928,18.92
0.207667,0.211096,0.263036,0.25423,0.268676,17.77
0.206109,0.209391,0.260589,0.25171,0.265798,18.17
0.207183,0.212328,0.263582,0.256131,0.270913,18.95
0.206417,0.208583,0.259404,0.250582,0.264086,23.37
0.209575,0.212039,0.264365,0.255691,0.269921,18.98
